freq	power	ampl	char					
1.11E-01	1.16E-26	1.08E-13	3.60E-14					
1.13E-01	1.04E-26	1.02E-13	3.42E-14					
1.15E-01	9.27E-27	9.63E-14	3.26E-14					
1.17E-01	8.33E-27	9.13E-14	3.12E-14					
1.19E-01	7.53E-27	8.68E-14	2.99E-14					
1.21E-01	6.84E-27	8.27E-14	2.87E-14					
1.22E-01	6.25E-27	7.90E-14	2.77E-14					
1.24E-01	5.74E-27	7.58E-14	2.67E-14					
1.27E-01	5.32E-27	7.29E-14	2.59E-14					
1.29E-01	4.96E-27	7.04E-14	2.52E-14					
1.31E-01	4.67E-27	6.83E-14	2.47E-14					
1.33E-01	4.43E-27	6.66E-14	2.43E-14					
1.35E-01	4.26E-27	6.53E-14	2.40E-14					
1.37E-01	4.15E-27	6.44E-14	2.39E-14					
1.39E-01	4.11E-27	6.41E-14	2.39E-14					
1.42E-01	4.14E-27	6.43E-14	2.42E-14					
1.44E-01	4.27E-27	6.54E-14	2.48E-14					
1.46E-01	4.54E-27	6.74E-14	2.58E-14					
1.49E-01	5.01E-27	7.07E-14	2.73E-14					
1.51E-01	5.81E-27	7.62E-14	2.96E-14					
1.54E-01	7.25E-27	8.51E-14	3.34E-14					
1.56E-01	1.01E-26	1.00E-13	3.97E-14					
1.59E-01	1.70E-26	1.30E-13	5.19E-14					
1.61E-01	4.33E-26	2.08E-13	8.35E-14					
1.64E-01	6.10E-25	7.81E-13	3.16E-13					
1.66E-01	1.10E-25	3.31E-13	1.35E-13					
1.69E-01	1.61E-26	1.27E-13	5.22E-14					
1.72E-01	5.73E-27	7.57E-14	3.14E-14					
1.75E-01	2.74E-27	5.24E-14	2.19E-14					
1.78E-01	1.53E-27	3.91E-14	1.65E-14					
1.80E-01	9.33E-28	3.06E-14	1.30E-14					
1.83E-01	6.07E-28	2.46E-14	1.05E-14					
1.86E-01	4.13E-28	2.03E-14	8.77E-15					
1.89E-01	2.90E-28	1.70E-14	7.42E-15					
1.92E-01	2.10E-28	1.45E-14	6.35E-15					
1.96E-01	1.55E-28	1.24E-14	5.50E-15					
1.99E-01	1.16E-28	1.08E-14	4.81E-15					
2.02E-01	8.11E-29	9.00E-15	4.05E-15					
2.05E-01	5.42E-29	7.36E-15	3.34E-15					
2.09E-01	3.68E-29	6.07E-15	2.77E-15					
2.12E-01	2.53E-29	5.03E-15	2.32E-15					
2.15E-01	1.77E-29	4.20E-15	1.95E-15					
2.19E-01	1.25E-29	3.54E-15	1.66E-15					
2.23E-01	9.13E-30	3.02E-15	1.43E-15					
2.26E-01	7.04E-30	2.65E-15	1.26E-15					
2.30E-01	6.74E-30	2.60E-15	1.24E-15					
2.34E-01	3.85E-29	6.20E-15	3.00E-15					
2.37E-01	7.06E-30	2.66E-15	1.29E-15					
2.41E-01	2.15E-30	1.47E-15	7.21E-16					
2.45E-01	1.26E-30	1.12E-15	5.56E-16					
2.49E-01	8.40E-31	9.17E-16	4.57E-16					
2.53E-01	5.85E-31	7.65E-16	3.85E-16					
2.57E-01	4.19E-31	6.47E-16	3.28E-16					
2.61E-01	3.05E-31	5.53E-16	2.83E-16					
2.66E-01	2.27E-31	4.76E-16	2.45E-16					
2.70E-01	1.71E-31	4.14E-16	2.15E-16					
2.74E-01	1.32E-31	3.63E-16	1.90E-16					
2.79E-01	1.03E-31	3.22E-16	1.70E-16					
2.83E-01	8.32E-32	2.88E-16	1.54E-16					
2.88E-01	6.88E-32	2.62E-16	1.41E-16					
2.93E-01	5.88E-32	2.43E-16	1.31E-16					
2.97E-01	5.26E-32	2.29E-16	1.25E-16					
3.02E-01	4.97E-32	2.23E-16	1.23E-16					
3.07E-01	5.09E-32	2.26E-16	1.25E-16					
3.12E-01	5.90E-32	2.43E-16	1.36E-16					
3.17E-01	8.49E-32	2.91E-16	1.64E-16					
3.22E-01	2.00E-31	4.47E-16	2.54E-16					
3.28E-01	8.09E-30	2.84E-15	1.63E-15					
3.33E-01	1.66E-31	4.07E-16	2.35E-16					
3.38E-01	2.39E-32	1.54E-16	8.99E-17					
3.44E-01	6.86E-33	8.28E-17	4.86E-17					
3.50E-01	2.58E-33	5.08E-17	3.00E-17					
3.55E-01	1.12E-33	3.35E-17	1.99E-17					
3.61E-01	5.33E-34	2.31E-17	1.39E-17					
3.67E-01	2.71E-34	1.65E-17	9.97E-18					
3.73E-01	1.44E-34	1.20E-17	7.34E-18					
3.79E-01	8.03E-35	8.96E-18	5.52E-18					
3.85E-01	4.61E-35	6.79E-18	4.22E-18					
3.91E-01	2.74E-35	5.23E-18	3.27E-18					
3.98E-01	1.67E-35	4.09E-18	2.58E-18					
4.04E-01	1.05E-35	3.24E-18	2.06E-18					
4.11E-01	6.77E-36	2.60E-18	1.67E-18					
4.17E-01	4.47E-36	2.11E-18	1.37E-18					
4.24E-01	2.84E-36	1.69E-18	1.10E-18					
4.31E-01	1.88E-36	1.37E-18	9.01E-19					
